protocol_type,service,flag,src_bytes,dst_bytes,num_failed_logins,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_same_srv_rate,dst_host_diff_srv_rate,class
tcp,ftp_data,SF,245,0,0,0,0,0,1,0,0.25,0.38,normal
icmp,eco_i,SF,30,0,0,0,0,0,1,0,1,0,normal
tcp,ftp_data,SF,8325,0,0,0,0,0,1,0,0.53,0.03,normal
tcp,http,SF,222,6662,0,1,0,0,1,0,1,0,normal
tcp,http,SF,224,347,0,1,0,0,1,0,1,0,normal
tcp,smtp,SF,850,325,0,1,0,0,1,0,0.59,0.02,normal
tcp,http,SF,210,1863,0,1,0,0,1,0,1,0,normal
tcp,http,SF,293,732,0,1,0,0,1,0,1,0,normal
tcp,ldap,S0,0,0,0,0,1,1,0.13,0.06,0.02,0.07,anomaly
tcp,ftp_data,SF,2194619,0,0,1,0,0,1,0,0.5,0.02,normal
tcp,http,SF,214,266,0,1,0,0,1,0,1,0,normal
tcp,private,S0,0,0,0,0,1,1,0.05,0.05,0.05,0.07,anomaly
tcp,http,SF,227,1317,0,1,0,0,1,0,1,0,normal
tcp,finger,S0,0,0,0,0,1,1,0.01,0.07,0.01,0.07,anomaly
tcp,http,SF,223,2358,0,1,0,0,1,0,1,0,normal
tcp,http,SF,219,841,0,1,0,0,1,0,1,0,normal
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,http,SF,184,783,0,1,0,0,1,0,1,0,normal
tcp,http,REJ,0,0,0,0,0,0,1,0,1,0,normal
tcp,ftp_data,SF,1214,0,0,1,0,0,1,0,0.64,0.01,normal
tcp,private,S0,0,0,0,0,1,1,0.04,0.06,0.06,0.05,anomaly
icmp,ecr_i,SF,64,0,0,0,0,0,1,0,0.01,0.94,normal
tcp,gopher,S0,0,0,0,0,1,1,0.03,0.07,0.03,0.08,anomaly
tcp,gopher,S0,0,0,0,0,1,1,0.04,0.06,0.03,0.05,anomaly
tcp,private,S0,0,0,0,0,1,1,0.1,0.05,0,0.07,anomaly
tcp,http,SF,210,1801,0,1,0,0,1,0,1,0,normal
tcp,http,SF,221,7473,0,1,0,0,1,0,1,0,normal
tcp,http,SF,301,1380,0,1,0,0,1,0,0.97,0.01,normal
tcp,telnet,S1,0,0,0,0,1,1,1,0,0.01,0.05,normal
tcp,whois,REJ,0,0,0,0,0,0,0.05,0.07,0.05,0.09,anomaly
udp,domain_u,SF,43,81,0,0,0,0,1,0,0.65,0.01,normal
tcp,smtp,SF,842,334,0,1,0,0,1,0,0.57,0.06,normal
tcp,sunrpc,S0,0,0,0,0,1,1,0.02,0.06,0.02,0.07,anomaly
tcp,private,S0,0,0,0,0,1,1,0.09,0.06,0.11,0.06,anomaly
tcp,vmnet,REJ,0,0,0,0,0,0,0.01,0.07,0.01,0.08,anomaly
udp,domain_u,SF,44,44,0,0,0,0,1,0,1,0,normal
tcp,imap4,S0,0,0,0,0,1,1,0.05,0.06,0.05,0.06,anomaly
tcp,private,S0,0,0,0,0,1,1,0.07,0.07,0.05,0.06,anomaly
tcp,http,SF,236,667,0,1,0,0,1,0,1,0,normal
tcp,http,SF,54540,8314,0,1,0,0,1,0,1,0,anomaly
udp,domain_u,SF,46,139,0,0,0,0,1,0,0.99,0.01,normal
udp,private,SF,1,0,0,0,0,0,0.9,0.07,0.11,0.26,anomaly
tcp,http,SF,54540,8314,0,1,0,0,1,0,1,0,anomaly
tcp,link,S0,0,0,0,0,1,1,0.08,0.06,0.08,0.07,anomaly
udp,private,SF,105,146,0,0,0,0,1,0,0.96,0.01,normal
tcp,name,S0,0,0,0,0,1,1,0.22,0.08,0.07,0.06,anomaly
tcp,daytime,S0,0,0,0,0,1,1,0.06,0.05,0.01,0.08,anomaly
tcp,private,S0,0,0,0,0,1,1,0.04,0.06,0.03,0.07,anomaly
tcp,private,S0,0,0,0,0,1,1,0.11,0.08,0.08,0.07,anomaly
tcp,http,SF,215,337,0,1,0,0,1,0,1,0,normal
tcp,http,SF,293,296,0,1,0,0,1,0,1,0,normal
tcp,private,REJ,0,0,0,0,0.11,0,0,1,0,1,anomaly
tcp,http,SF,250,2196,0,1,0,0,1,0,1,0,normal
tcp,http,SF,296,1518,0,1,0,0,1,0,1,0,normal
tcp,ftp_data,S0,0,0,0,0,1,1,0.33,0.44,0.16,0.05,anomaly
tcp,ftp_data,SF,2056,0,0,1,0,0,1,0,0.57,0.14,normal
tcp,http,SF,333,1326,0,1,0,0,1,0,1,0,normal
tcp,http,SF,231,2507,0,1,0,0,1,0,0.95,0.02,normal
tcp,http,SF,310,362,0,1,0,0,1,0,1,0,normal
tcp,vmnet,S0,0,0,0,0,1,1,0.04,0.07,0.07,0.07,anomaly
tcp,http,SF,289,658,0,1,0,0,1,0,1,0,normal
tcp,http,SF,242,2281,0,1,0,0,1,0,1,0,normal
tcp,exec,S0,0,0,0,0,1,1,0.03,0.06,0.01,0.07,anomaly
udp,domain_u,SF,44,127,0,0,0,0,1,0,1,0.01,normal
tcp,telnet,S0,0,0,0,0,1,1,0.06,0.07,0.05,0.07,anomaly
udp,domain_u,SF,45,131,0,0,0,0,1,0,1,0.01,normal
tcp,private,S0,0,0,0,0,1,1,0.07,0.06,0.01,0.07,anomaly
tcp,http,SF,337,1669,0,1,0,0,1,0,1,0,normal
tcp,ftp_data,SF,35,0,0,1,0,0,1,0,1,0,normal
tcp,http,SF,226,1964,0,1,0,0,1,0,1,0,normal
tcp,telnet,RSTO,0,15,0,0,0,0,1,0,0,0.03,normal
tcp,private,RSTR,0,0,0,0,0,0,1,0,0.02,0.08,anomaly
tcp,ftp_data,SF,373,0,0,1,0,0,1,0,0.35,0.02,normal
tcp,http,REJ,0,0,0,0,0,0,1,0,0.83,0.01,normal
tcp,http,SF,185,4841,0,1,0,0,1,0,1,0,normal
tcp,private,S0,0,0,0,0,1,1,0.13,0.05,0.15,0.05,anomaly
tcp,telnet,SF,104,1608,0,1,0,0,1,0,0.08,0.31,normal
tcp,http,SF,210,284,0,1,0,0,1,0,1,0,normal
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,ftp,SF,343,1063,0,1,0,0,1,0,0.26,0.05,normal
tcp,private,REJ,0,0,0,0,0,0,0.09,0.07,0.07,0.07,anomaly
tcp,daytime,S0,0,0,0,0,1,1,0.03,0.07,0.03,0.07,anomaly
udp,domain_u,SF,43,125,0,0,0,0,1,0,1,0.01,normal
udp,domain_u,SF,43,130,0,0,0,0,1,0,0.93,0.01,normal
tcp,http,SF,213,632,0,1,0,0,1,0,1,0,normal
tcp,http,SF,200,1660,0,1,0,0,1,0,1,0,normal
tcp,finger,S0,0,0,0,0,0.95,1,0.48,0.1,0.08,0.06,anomaly
tcp,bgp,REJ,0,0,0,0,0,0,0.02,0.07,0.02,0.07,anomaly
tcp,http,SF,246,2362,0,1,0,0,1,0,1,0,normal
tcp,http,SF,255,493,0,1,0.22,0.22,1,0,1,0,normal
tcp,http,SF,322,272,0,1,0,0,1,0,0.96,0.01,normal
tcp,private,S0,0,0,0,0,1,1,0.11,0.05,0.04,0.08,anomaly
tcp,http,SF,149,7542,0,1,0,0,1,0,1,0,normal
udp,domain_u,SF,29,29,0,0,0,0,1,0,1,0.01,normal
tcp,private,REJ,0,0,0,0,0,0,0.07,0.08,0.03,0.06,anomaly
tcp,http,SF,177,1531,0,1,0,0,1,0,1,0,normal
tcp,smtp,SF,1110,331,0,1,0,0,1,0,0.94,0.03,normal
tcp,private,S0,0,0,0,0,1,1,0.01,0.07,0.07,0.07,anomaly
tcp,private,S0,0,0,0,0,1,1,0.1,0.07,0.07,0.07,anomaly
tcp,http,SF,300,1146,0,1,0,0,1,0,1,0,normal
tcp,nnsp,S0,0,0,0,0,1,1,0.12,0.06,0.07,0.06,anomaly
tcp,iso_tsap,REJ,0,0,0,0,0,0,0.01,0.07,0.01,0.08,anomaly
tcp,private,S0,0,0,0,0,1,1,0.06,0.06,0.02,0.09,anomaly
tcp,http,SF,326,276,0,1,0,0,1,0,0.93,0.01,normal
tcp,private,S0,0,0,0,0,1,1,0.16,0.06,0.06,0.05,anomaly
tcp,private,S0,0,0,0,0,1,1,0.04,0.06,0.04,0.06,anomaly
tcp,bgp,S0,0,0,0,0,1,1,0.03,0.08,0.02,0.07,anomaly
tcp,http,SF,325,788,0,1,0,0,1,0,1,0,normal
tcp,smtp,SF,3731,328,0,1,0,0,1,0,0.6,0.03,normal
tcp,http,SF,227,2507,0,1,0,0,1,0,0.95,0.02,normal
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,imap4,S0,0,0,0,0,1,1,0.02,0.06,0.04,0.08,anomaly
tcp,courier,S0,0,0,0,0,1,1,0.04,0.06,0.02,0.07,anomaly
tcp,http,SF,212,882,0,1,0,0,1,0,1,0,normal
tcp,http,SF,214,1367,0,1,0,0,1,0,1,0,normal
tcp,nnsp,S0,0,0,0,0,1,1,0.02,0.06,0.03,0.05,anomaly
tcp,smtp,SF,1452,322,0,1,0,0,1,0,0.97,0.01,normal
tcp,private,S0,0,0,0,0,1,1,0.06,0.07,0.06,0.07,anomaly
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,telnet,S0,0,0,0,0,1,1,0.01,0.06,0.07,0.06,anomaly
tcp,private,S0,0,0,0,0,1,1,0.08,0.05,0.1,0.06,anomaly
tcp,supdup,S0,0,0,0,0,1,1,0.08,0.07,0.05,0.07,anomaly
tcp,http,SF,225,6991,0,1,0,0,1,0,1,0,normal
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,private,S0,0,0,0,0,1,1,0.04,0.06,0.06,0.07,anomaly
tcp,private,REJ,0,0,0,0,0,0,0.08,0.06,0.07,0.06,anomaly
tcp,http,S0,0,0,0,0,0.5,0.5,1,0,1,0,normal
udp,domain_u,SF,46,127,0,0,0,0,1,0,0.99,0.01,normal
tcp,http,SF,208,5604,0,1,0,0,1,0,1,0,normal
tcp,http,SF,162,19994,0,1,0,0,1,0,1,0,normal
tcp,http,SF,233,6329,0,1,0,0,1,0,1,0,normal
udp,private,SF,105,146,0,0,0,0,0.25,0.5,0.92,0.01,normal
icmp,eco_i,SF,18,0,0,0,0,0,1,0,1,0,anomaly
tcp,http,SF,303,15021,0,1,0,0,1,0,1,0,normal
tcp,http,SF,230,1380,0,1,0,0,1,0,0.86,0.01,normal
tcp,smtp,SF,1013,328,0,1,0,0,1,0,0.52,0.03,normal
tcp,private,S0,0,0,0,0,1,1,0.09,0.06,0.04,0.05,anomaly
tcp,http,S0,0,0,0,0,1,1,0.01,0.06,0.07,0.07,anomaly
tcp,private,S0,0,0,0,0,1,1,0.11,0.08,0.02,0.07,anomaly
tcp,http,SF,234,927,0,1,0,0,1,0,1,0,normal
tcp,smtp,S0,0,0,0,0,1,1,0,0.06,0,0.07,anomaly
tcp,smtp,SF,109,408,0,1,0,0,1,0,0.38,0.03,normal
tcp,smtp,SF,796,377,0,1,0,0,1,0,0.87,0.06,normal
tcp,http,SF,223,8584,0,1,0,0,1,0,1,0,normal
tcp,private,REJ,0,0,0,0,0.09,0,0,1,0,0.91,anomaly
tcp,private,S0,0,0,0,0,1,1,0.3,0.16,0.05,0.09,anomaly
tcp,http,SF,337,7189,0,1,0,0,1,0,1,0,normal
tcp,http,SF,319,2344,0,1,0.33,0.17,1,0,1,0,normal
tcp,private,REJ,0,0,0,0,0,0,1,0,0.04,1,anomaly
tcp,private,RSTOS0,0,0,0,0,0.64,0.5,0.01,0.41,0.01,0.34,anomaly
tcp,http,SF,326,1511,0,1,0,0,1,0,1,0,normal
tcp,http,SF,338,392,0,1,0,0,1,0,1,0,normal
tcp,http,SF,312,2288,0,1,0,0,1,0,1,0,normal
tcp,http,SF,239,8784,0,1,0,0,1,0,1,0,normal
udp,domain_u,SF,35,0,0,0,0,0,1,0,0.09,0.03,normal
tcp,finger,S0,0,0,0,0,1,1,0.03,0.06,0.06,0.07,anomaly
tcp,http,SF,324,185,0,1,0,0,1,0,1,0,normal
tcp,http,REJ,0,0,0,0,0,0,1,0,1,0,normal
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,private,S0,0,0,0,0,1,1,0.05,0.07,0.02,0.09,anomaly
tcp,http,SF,185,4841,0,1,0,0,1,0,1,0,normal
tcp,http,SF,312,3966,0,1,0,0,1,0,1,0,normal
tcp,private,S0,0,0,0,0,1,1,0.05,0.06,0.24,0.16,anomaly
tcp,imap4,S0,0,0,0,0,1,1,0.11,0.06,0.09,0.05,anomaly
tcp,iso_tsap,RSTR,0,0,0,0,0,0,1,0,0,0.4,anomaly
udp,domain_u,SF,45,133,0,0,0,0,1,0,0.99,0.01,normal
tcp,http,SF,313,2698,0,1,0,0,1,0,0.94,0.01,normal
tcp,ftp_data,SF,8766,0,0,1,0,0,1,0,1,0,normal
tcp,http,SF,192,758,0,1,0,0,1,0,1,0,normal
udp,other,SF,147,105,0,0,0,0,1,0,0.01,0.85,normal
tcp,ftp_data,SF,10272,0,0,0,0,0,1,0,0.2,0.02,normal
tcp,private,S0,0,0,0,0,1,1,0.05,0.05,0.03,0.08,anomaly
tcp,http,REJ,0,0,0,0,0,0,1,0,1,0,normal
tcp,http,S1,255,36500,0,1,0.25,0.25,1,0,1,0,normal
tcp,http,SF,241,1556,0,1,0,0,1,0,1,0,normal
tcp,courier,S0,0,0,0,0,1,1,0.04,0.07,0.02,0.07,anomaly
tcp,gopher,S0,0,0,0,0,1,1,0.07,0.06,0.08,0.07,anomaly
tcp,echo,RSTO,0,0,0,0,0,0,0.05,0.07,0.05,0.07,anomaly
tcp,http,SF,221,1481,0,1,0,0,1,0,1,0,normal
icmp,red_i,SF,91,0,0,0,0,0,1,0,0.05,0.02,normal
tcp,http,SF,333,3679,0,1,0,0,1,0,1,0,normal
udp,private,SF,28,0,0,0,0,0,1,0,0.17,0.04,anomaly
tcp,http,SF,315,2777,0,1,0,0,1,0,1,0,normal
tcp,http,SF,222,238,0,1,0,0,1,0,1,0,normal
tcp,http,SF,277,11830,0,1,0,0,1,0,1,0,normal
udp,domain_u,SF,44,110,0,0,0,0,1,0,0.74,0.02,normal
tcp,iso_tsap,S0,0,0,0,0,1,1,0.07,0.07,0.03,0.06,anomaly
tcp,uucp_path,S0,0,0,0,0,1,1,0.04,0.06,0.04,0.07,anomaly
tcp,hostnames,S0,0,0,0,0,1,1,0.08,0.06,0.08,0.06,anomaly
tcp,telnet,SF,102,1442,0,0,0,0,1,0,0.04,0.18,normal
tcp,ftp_data,SF,2194619,0,0,0,0,0,1,0,0.5,0.3,normal
tcp,http,SF,203,331,0,1,0,0,1,0,1,0,normal
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,private,REJ,0,0,0,0,0,0,0.09,0.06,0.03,0.07,anomaly
tcp,smtp,SF,2053,360,0,1,0,0,1,0,0.57,0.04,normal
tcp,smtp,SF,2004,332,0,1,0,0,1,0,0.62,0.05,normal
tcp,http,REJ,0,0,0,0,0,0,1,0,1,0,normal
tcp,other,SF,14189,0,0,1,0,0,0.5,1,0.01,0.08,normal
tcp,telnet,SF,103,2853,0,1,0,0,1,0,0.03,0.03,normal
tcp,smtp,SF,952,325,0,1,0,0,1,0,0.63,0.02,normal
udp,private,SF,215,0,0,0,0,0,1,0,0.85,0.01,anomaly
tcp,http,SF,206,955,0,1,0,0,1,0,1,0,normal
tcp,domain,SF,48,486,0,1,0,0,0.02,0.04,0,0.01,normal
tcp,ftp_data,REJ,0,0,0,0,0,0,0.07,0.07,0.06,0.07,anomaly
tcp,ftp_data,SF,10073,0,0,0,0,0,1,0,0.27,0.02,normal
tcp,http,SF,232,5309,0,1,0,0,1,0,1,0,normal
tcp,smtp,SF,787,388,0,1,0,0,1,0,0.02,0.02,normal
tcp,smtp,SF,1714,376,0,1,0,0,1,0,0.96,0.02,normal
udp,domain_u,SF,44,73,0,0,0,0,1,0,0.98,0.01,normal
tcp,http,SF,297,1423,0,1,0,0,1,0,1,0,normal
icmp,ecr_i,SF,1032,0,0,0,0,0,1,0,0.27,0.05,anomaly
tcp,smtp,SF,789,327,0,1,0,0,1,0,0.93,0.01,normal
tcp,private,S0,0,0,0,0,1,1,0.04,0.07,0.04,0.08,anomaly
tcp,http,SF,369,7931,0,1,0,0,1,0,1,0,normal
tcp,http,REJ,0,0,0,0,0,0,1,0,1,0,normal
tcp,sql_net,S0,0,0,0,0,1,1,0.11,0.07,0.05,0.07,anomaly
tcp,ftp,SF,1153,2445,0,1,0,0,1,0,0.23,0.02,anomaly
udp,private,SF,1,0,0,0,0,0,0.21,0.16,0.02,0.91,anomaly
tcp,http,REJ,0,0,0,0,0,0,1,0,1,0,normal
tcp,finger,S0,0,0,0,0,1,1,0.07,0.06,0.07,0.08,anomaly
tcp,http,SF,316,3632,0,1,0,0,1,0,1,0,normal
tcp,supdup,S0,0,0,0,0,1,1,0.02,0.07,0.01,0.05,anomaly
tcp,smtp,SF,1392,481,0,1,0,0,1,0,0.01,0.01,normal
tcp,http,S0,0,0,0,0,1,1,0.63,0.21,0.23,0.02,anomaly
tcp,IRC,RSTR,115,1567,0,1,0,0,1,0,0.75,0.5,normal
tcp,ssh,S0,0,0,0,0,1,1,0.43,0.43,0.01,0.09,anomaly
tcp,time,S0,0,0,0,0,1,1,0.03,0.05,0.03,0.06,anomaly
tcp,http,SF,252,1133,0,1,0,0,1,0,1,0,normal
tcp,http,SF,208,1240,0,1,0,0,1,0,1,0,normal
tcp,http,SF,291,375,0,1,0,0,1,0,1,0,normal
tcp,finger,SF,7,223,0,0,0,0,0.5,1,0.05,0.05,normal
udp,domain_u,SF,44,128,0,0,0,0,1,0,1,0,normal
tcp,ftp_data,SF,9178,0,0,1,0,0,1,0,0.08,0.02,normal
udp,private,SF,28,0,0,0,0.86,0,0.14,0.06,0.06,0.94,anomaly
tcp,auth,SF,10,39,0,1,0,0,1,0,1,0,normal
udp,domain_u,SF,88,0,0,0,0,0,1,0,0.75,0.03,normal
tcp,http,SF,241,1991,0,1,0,0,1,0,1,0,normal
tcp,login,S0,0,0,0,0,1,1,0.14,0.07,0.01,0.07,anomaly
tcp,Z39_50,S0,0,0,0,0,1,1,0.06,0.06,0.06,0.08,anomaly
tcp,netbios_ns,SH,0,0,0,0,1,1,1,0,0,1,anomaly
tcp,private,REJ,0,0,0,0,0.03,0,0,1,0,0.97,anomaly
tcp,http,SF,293,2400,0,1,0,0,1,0,1,0,normal
tcp,http,SF,199,3413,0,1,0,0,1,0,1,0,normal
tcp,ftp_data,SF,334,0,0,1,0,0,1,0,1,0,anomaly
tcp,daytime,S0,0,0,0,0,1,1,0.03,0.05,0.04,0.05,anomaly
tcp,http,SF,229,1901,0,1,0,0,1,0,1,0,normal
tcp,http,SF,296,1630,0,1,0,0,1,0,1,0,normal
tcp,imap4,S0,0,0,0,0,1,1,0.04,0.06,0.04,0.07,anomaly
tcp,http,S0,0,0,0,0,1,1,1,0,0.67,0.33,anomaly
tcp,login,S0,0,0,0,0,1,1,0.08,0.08,0.02,0.06,anomaly
tcp,http,SF,321,1543,0,1,0,0,1,0,1,0,normal
udp,private,SF,105,146,0,0,0,0,0.17,0.33,0.96,0.01,normal
tcp,finger,SF,9,413,0,0,0,0,1,0,0.01,0.03,normal
tcp,smtp,SF,645,330,0,1,0,0,1,0,0.88,0.17,normal
tcp,http,REJ,0,0,0,0,0,0,0.06,0.05,0.07,0.06,anomaly
tcp,finger,SF,7,0,0,0,0,0,1,0,0.02,0.07,normal
tcp,http,REJ,0,0,0,0,0,0,1,0,1,0,normal
tcp,http,SF,264,295,0,1,0,0,1,0,1,0,normal
tcp,smtp,RSTO,0,0,0,0,0,0,1,0,0.41,0.03,normal
tcp,auth,SF,9,36,0,0,0,0,1,0,0.05,0.03,normal
tcp,http,SF,204,1651,0,1,0,0,1,0,1,0,normal
tcp,link,S0,0,0,0,0,1,1,0.03,0.05,0.05,0.08,anomaly
tcp,sunrpc,S0,0,0,0,0,1,1,0.09,0.06,0.08,0.07,anomaly
tcp,private,S0,0,0,0,0,1,1,0.06,0.05,0.07,0.05,anomaly
tcp,smtp,SF,1334,336,0,1,0,0,1,0,0.71,0.06,normal
tcp,http,SF,264,1478,0,1,0,0,1,0,0.89,0.02,normal
tcp,private,S0,0,0,0,0,1,1,0.03,0.07,0.02,0.08,anomaly
tcp,http,S0,0,0,0,0,1,0.8,0.57,0.29,0.26,0.02,anomaly
tcp,http,SF,246,4184,0,1,0,0,1,0,1,0,normal
udp,private,SF,28,0,0,0,0,0,1,0,0.19,0.04,anomaly
tcp,private,S0,0,0,0,0,1,1,0.01,0.07,0.08,0.07,anomaly
tcp,private,S0,0,0,0,0,1,1,0.09,0.06,0.02,0.06,anomaly
tcp,smtp,SF,711,399,0,1,0,0,1,0,0.72,0.02,normal
tcp,ftp_data,SF,965,0,0,0,0,0,1,0,0.19,0.02,normal
tcp,http,SF,260,2198,0,1,0,0,1,0,1,0,normal
tcp,http,SF,298,7299,0,1,0,0,1,0,1,0,normal
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,http,SF,54540,8314,0,1,0,0,1,0,1,0,anomaly
tcp,private,S0,0,0,0,0,1,1,0.04,0.06,0.04,0.07,anomaly
udp,other,SF,516,4,0,0,0,0,1,0,1,0,normal
tcp,discard,S0,0,0,0,0,1,1,0.09,0.05,0.1,0.05,anomaly
tcp,ctf,S0,0,0,0,0,1,1,0.03,0.06,0.02,0.06,anomaly
tcp,private,S0,0,0,0,0,1,1,0.22,0.22,0.02,0.08,anomaly
tcp,private,S0,0,0,0,0,1,1,0.02,0.06,0.02,0.07,anomaly
tcp,http,SF,309,412,0,1,0,0,1,0,1,0,normal
tcp,http,REJ,0,0,0,0,0,0,1,0,1,0,normal
tcp,private,S0,0,0,0,0,1,1,0.16,0.05,0.1,0.05,anomaly
udp,other,SF,145,0,0,0,0,0,0.33,0.67,0,0.51,normal
tcp,private,REJ,0,0,0,0,0.01,0,0.01,1,0,0.34,anomaly
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,ldap,S0,0,0,0,0,1,1,0.02,0.06,0.08,0.06,anomaly
tcp,ftp,SF,55,170,1,0,0,0,1,0,0.26,0.03,normal
tcp,http,SF,182,886,0,1,0,0,1,0,1,0,normal
tcp,http,SF,255,950,0,1,0,0,1,0,1,0,normal
tcp,private,RSTR,1,0,0,0,0,0,1,0,0.01,0.31,anomaly
tcp,http,SF,302,3415,0,1,0,0,1,0,1,0,normal
tcp,http,SF,173,438,0,1,0,0,1,0,1,0,normal
tcp,private,REJ,0,0,0,0,0.06,0,0,1,0,0.91,anomaly
udp,domain_u,SF,44,74,0,0,0,0,1,0,0.88,0.01,normal
tcp,other,REJ,0,0,0,0,0.2,0,0,1,0,1,anomaly
tcp,finger,SF,0,0,0,0,0,0,1,0,0.02,1,anomaly
tcp,Z39_50,S0,0,0,0,0,1,1,0.13,0.06,0.06,0.07,anomaly
tcp,http,SF,334,2840,0,1,0,0,1,0,1,0,normal
tcp,smtp,SF,752,345,0,1,0,0,1,0,0.43,0.02,normal
tcp,http,SF,225,1675,0,1,0,0,1,0,1,0,normal
tcp,smtp,SF,1256,329,0,1,0,0,1,0,0.68,0.02,normal
udp,other,SF,147,105,0,0,0,0,0.5,0.5,0.01,0.85,normal
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
udp,private,SF,105,146,0,0,0,0,1,0,0.96,0.01,normal
tcp,private,REJ,0,0,0,0,0,0,0.16,0.07,0.07,0.09,anomaly
tcp,http,SF,316,473,0,1,0,0,1,0,1,0,normal
tcp,http,SF,209,934,0,1,0,0,1,0,1,0,normal
tcp,iso_tsap,S0,0,0,0,0,1,1,0.07,0.06,0.07,0.06,anomaly
tcp,echo,RSTR,0,0,0,0,0,0,1,0,0.01,0.08,anomaly
tcp,private,S0,0,0,0,0,1,1,0.09,0.06,0.07,0.07,anomaly
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,smtp,SF,933,332,0,1,0,0,1,0,0.49,0.03,normal
tcp,courier,S0,0,0,0,0,1,1,0.05,0.06,0.06,0.07,anomaly
tcp,private,S0,0,0,0,0,1,1,0.01,0.06,0,0.04,anomaly
tcp,ftp_data,SF,9311,0,0,1,0,0,1,0,0.44,0.01,normal
udp,other,SF,146,105,0,0,0,0,0.5,0.5,0.01,0.56,normal
tcp,finger,SF,6,136,0,0,0,0,0.33,1,0.01,0.55,normal
udp,domain_u,SF,45,136,0,0,0,0,1,0,1,0,normal
tcp,telnet,S0,0,0,0,0,1,1,0.06,0.07,0.05,0.09,anomaly
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,http,SF,275,833,0,1,0,0,1,0,1,0,normal
tcp,smtp,SF,861,326,0,1,0,0,1,0,0.64,0.18,normal
tcp,http,SF,375,3119,0,1,0,0,1,0,1,0,normal
tcp,http,SF,210,274,0,1,0,0,1,0,1,0,normal
tcp,http,REJ,0,0,0,0,0,0,1,0,1,0,normal
tcp,ftp_data,SF,334,0,0,1,0,0,1,0,1,0,anomaly
tcp,ctf,S0,0,0,0,0,1,1,0.04,0.06,0.02,0.07,anomaly
tcp,http,SF,244,2211,0,1,0,0,1,0,1,0,normal
tcp,uucp,RSTO,0,0,0,0,0,0,0.11,0.08,0.05,0.07,anomaly
tcp,klogin,S0,0,0,0,0,1,1,0.01,0.07,0,0.05,anomaly
tcp,http,SF,350,937,0,1,0,0,1,0,1,0,normal
tcp,ftp,SF,1463,4152,0,1,0,0,1,0,0.5,1,normal
tcp,nnsp,S0,0,0,0,0,1,1,0.09,0.06,0.05,0.07,anomaly
tcp,http,SF,245,776,0,1,0,0,1,0,1,0,normal
tcp,http,SF,186,12984,0,1,0,0,1,0,1,0,normal
tcp,http,SF,210,1295,0,1,0,0,1,0,1,0,normal
icmp,ecr_i,SF,1032,0,0,0,0,0,1,0,0.5,0.01,anomaly
tcp,private,S0,0,0,0,0,1,1,0.02,0.06,0.07,0.07,anomaly
tcp,private,S0,0,0,0,0,1,1,0.13,0.06,0.05,0.06,anomaly
tcp,private,S0,0,0,0,0,1,1,0.01,0.07,0.02,0.07,anomaly
tcp,smtp,SF,1917,335,0,1,0,0,1,0,0.96,0.01,normal
tcp,http,SF,280,2446,0,1,0,0,1,0,1,0,normal
tcp,finger,S0,0,0,0,0,1,1,0.27,0.08,0.24,0.02,anomaly
tcp,http,SF,227,2047,0,1,0,0,1,0,1,0,normal
tcp,http,SF,231,2239,0,1,0,0,1,0,1,0,normal
udp,domain_u,SF,43,126,0,0,0,0,1,0,0.82,0.01,normal
tcp,http,S0,0,0,0,0,1,1,0.02,0.06,0.02,0.06,anomaly
tcp,private,S0,0,0,0,0,1,1,0.04,0.07,0.01,0.06,anomaly
tcp,domain,S0,0,0,0,0,1,1,0.03,0.06,0.03,0.07,anomaly
tcp,http,SF,247,2495,0,1,0,0,1,0,1,0,normal
tcp,smtp,S3,1493,365,0,1,1,1,1,0,0.32,0.05,normal
udp,domain_u,SF,33,0,0,0,0,0,1,0,0.07,0.1,normal
tcp,smtp,SF,847,334,0,1,0,0,1,0,0.58,0.06,normal
tcp,private,S0,0,0,0,0,1,1,0,0.07,0,0.08,anomaly
tcp,uucp_path,S0,0,0,0,0,1,1,0.06,0.06,0.07,0.07,anomaly
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,time,RSTO,0,0,0,0,0,0,0.09,0.06,0.07,0.07,anomaly
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
